_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852Cb01C1E00629924326Cd,12.0,2024.0,12.0,Ministero Dell'Interno,Ve,4.0,0.0,7.0,202412.0,2025-06-18T16:15:20.148346,Operatore,Ve,12.0,Ministero Dell'Interno,4.0,0.0
6852Caed205349164Be9B923,2.0,2024.0,4.0,?,Kr,17.0,24.0,0.0,202402.0,2025-06-18T16:15:20.148346,Operatore,Kr,4.0,Ministero Dell'Istruzione E Del Merito,17.0,24.0
6852Caf4205349164Beb0748,3.0,1408.6958321381449,9.0,Ministero Della Giustizia,No,1.0,3.0,2.0,202303.0,2025-06-18T16:15:20.148346,Operatore,No,9.0,Ministero Della Giustizia,1.0,3.0
6852Caf4205349164Beb39Bc,12.0,2023.0,9.0,Ministero Della Giustizia,-,14.0,22.0,14.0,202312.0,2025-06-18T16:15:20.148346,Operatore,Ce,9.0,Ministero Della Giustizia,14.0,22.0
6852Caf4205349164Beb370E,2.0,2023.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Tn,20.0,0.0,5.0,202302.0,2025-06-18T16:15:20.148346,Impiegato,Tn,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,20.0,0.0
6852Caf3205349164Beae88E,11.0,2024.0,18.0,Corte Dei Conti,To,1.0,0.0,1.0,202411.0,2025-06-18T16:15:20.148346,Dirigente,To,18.0,Corte Dei Conti,1.0,0.0
6852Cad98D61D50C63E4367C,5.0,2023.0,19.0,Ministero Universita' E Ricerca,Lt,11.0,5.0,2.0,202305.0,2025-06-18T16:15:20.148346,Dirigente,Lt,19.0,Ministero Universita' E Ricerca,11.0,5.0
6852Caf6205349164Beb7735,12.0,2023.0,19.0,Ministero Universita' E Ricerca,Cs,17.0,22.0,13.0,202312.0,2025-06-18T16:15:20.148346,Funzionario,Cs,19.0,Ministero Universita' E Ricerca,17.0,22.0
6852Caeb205349164Be957Cf,10.0,2024.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Rn,7.0,0.0,2.0,202410.0,2025-06-18T16:15:20.148346,Operatore,Rn,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,7.0,0.0
6852Caea205349164Be92Ccd,9.0,2021.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Bo,7.0,1.0,9.0,202309.0,2025-06-18T16:15:20.148346,Operatore,Bo,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,7.0,1.0
6852Caf6205349164Bebb368,1.0,2024.0,2.0,Ministero Delle Infrastrutture E Dei Trasporti,Bs,3.0,4.0,0.0,202312.0,2025-06-18T16:15:20.148346,Operatore,Bs,2.0,Ministero Delle Infrastrutture E Dei Trasporti,3.0,4.0
6852Caea205349164Be93095,10.0,2023.0,12.0,Ministero Dell'Interno,Av,14.0,0.0,1.0,202310.0,2025-06-18T16:15:20.148346,Funzionario,Av,12.0,Ministero Dell'Interno,14.0,0.0
6852Caed205349164Be9A048,4.0,2023.0,9.0,Ministero Della Giustizia,Rc,17.0,1.0,27.0,202304.0,2025-06-18T16:15:20.148346,Operatore,Rc,9.0,Ministero Della Giustizia,17.0,1.0
6852Cae8205349164Be8D330,5.0,2024.0,1.0,Ministero Dell'Economia E Finanze,Bl,4.0,0.0,1.0,202405.0,2025-06-18T16:15:20.148346,Operatore,Bl,1.0,Ministero Dell'Economia E Finanze,4.0,0.0
6852Caf3205349164Beade14,8.0,2023.0,19.0,Ministero Universita' E Ricerca,Is,13.0,2.0,95.0,202308.0,2025-06-18T16:15:20.148346,Operatore,Is,19.0,Ministero Universita' E Ricerca,13.0,2.0
6852Caeb205349164Be972E5,1.0,2021.0,974.0,Agenzia Industrie Difesa Aid,,8.0,33.0,0.0,202301.0,2025/06/18,Funzionario,Fi,974.0,Agenzia Industrie Difesa Aid,8.0,33.0
6852Caf3205349164Beaec84,6.0,2023.0,971.0,Arpal Puglia,Ba,15.0,0.0,2.0,202306.0,2025-06-18T16:15:20.148346,Impiegato,Ba,971.0,Arpal Puglia,15.0,0.0
6852Cb02C1E0062992432Ed4,5.0,2024.0,954.0,Ispettorato Nazionale Del Lavoro,Mo,7.0,0.0,1.0,202405.0,2025-06-18T16:15:20.148346,Operatore,Mo,954.0,Ispettorato Nazionale Del Lavoro,7.0,0.0
6852Caf2205349164Beac519,11.0,2024.0,9.0,Ministero Della Giustizia,Vc,1.0,7.0,0.0,202411.0,2025-06-18T16:15:20.148346,Operatore,Vc,9.0,Ministero Della Giustizia,1.0,7.0
6852Caf7205349164Bebda33,5.0,2023.0,2.0,Ministero Delle Infrastrutture E Dei Trasporti,Pg,9.0,0.0,2.0,202305.0,2025-06-18T16:15:20.148346,Operatore,Pg,2.0,Ministero Delle Infrastrutture E Dei Trasporti,9.0,0.0
6852Caeb205349164Be9577E,10.0,2024.0,2.0,Ministero Delle Infrastrutture E Dei Trasporti,Pa,18.0,0.0,2.0,202410.0,2025-06-18T16:15:20.148346,Funzionario,Pa,2.0,Ministero Delle Infrastrutture E Dei Trasporti,18.0,0.0
6852Caed205349164Be9Bfab,5.0,2023.0,22.0,Agenzia Delle Entrate,Vc,1.0,0.0,1.0,202308.0,2025-06-18T16:15:20.148346,Funzionario,Vc,22.0,Agenzia Delle Entrate,1.0,0.0
6852Caeb205349164Be97001,7.0,2024.0,4.0,Ministero Dell'Istruzione E Del Merito,Lu,8.0,75.0,48.0,202407.0,2025-06-18T16:15:20.148346,Operatore,Lu,4.0,Ministero Dell'Istruzione E Del Merito,8.0,75.0
6852Caf4205349164Beb2B71,4.0,2022.0,14.0,Ministero Della Cultura,Le,15.0,6.0,2.0,202404.0,2025-06-18T16:15:20.148346,Funzionario,Le,14.0,Ministero Della Cultura,15.0,6.0
6852Caeb205349164Be94E04,1.0,2024.0,4.0,Ministero Dell'Istruzione E Del Merito,Aq,12.0,78.0,33.0,202407.0,2025-06-18T16:15:20.148346,Operatore,Aq,4.0,Ministero Dell'Istruzione E Del Merito,12.0,78.0
6852Caed205349164Be9Bf87,2.0,2024.0,22.0,Agenzia Delle Entrate,Co,3.0,1.0,0.0,202402.0,2025-06-18T16:15:20.148346,Impiegato,Co,22.0,Agenzia Delle Entrate,3.0,1.0
6852Cae8205349164Be8Db90,4.0,2024.0,12.0,Ministero Dell'Interno,Me,18.0,0.0,3.0,202404.0,2025-06-18T16:15:20.148346,Operatore,Me,12.0,Ministero Dell'Interno,18.0,0.0
6852Caf5205349164Beb44Fb,9.0,2024.0,22.0,Agenzia Delle Entrate,Vv,17.0,0.0,1.0,202409.0,18/06/2025,Funzionario,Vv,22.0,Agenzia Delle Entrate,17.0,0.0
6852Cada9952Cb647Ef3813F,3.0,2024.0,22.0,Agenzia Delle Entrate,Cl,18.0,2.0,1.0,202403.0,2025-06-18T16:15:20.148346,Operatore,Cl,22.0,Agenzia Delle Entrate,18.0,2.0
6852Caf8205349164Bec00B7,5.0,2024.0,12.0,Ministero Dell'Interno,-,15.0,1.0,6.0,202405.0,2025-06-18T16:15:20.148346,Impiegato,Ba,12.0,Ministero Dell'Interno,15.0,1.0
6852Cad98D61D50C63E43628,7.0,2023.0,974.0,Agenzia Industrie Difesa Aid,Pr,7.0,5.0,1.0,202305.0,2025-06-18T16:15:20.148346,Operatore,Pr,974.0,Agenzia Industrie Difesa Aid,7.0,5.0
6852Cae9205349164Be8F952,2.0,2023.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Cl,18.0,0.0,3.0,202402.0,2025-06-18T16:15:20.148346,Operatore,Cl,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,18.0,0.0
6852Caee205349164Be9Ee7A,2.0,2024.0,19.0,Ministero Universita' E Ricerca,Pa,18.0,16.0,12.0,202402.0,2025-06-18T16:15:20.148346,Operatore,Pa,19.0,Ministero Universita' E Ricerca,18.0,16.0
6852Caef205349164Bea033D,8.0,2023.0,4.0,Ministero Dell'Istruzione E Del Merito,Fc,7.0,15.0,1860.0,202308.0,2025-06-18T16:15:20.148346,Operatore,Fc,4.0,Ministero Dell'Istruzione E Del Merito,7.0,15.0
